x,y,pest_class,pest_class_num
27.85,70.05,2–10,2
26.75,69.95,1,1
27.05,69.95,1,1
27.25,69.95,1,1
27.35,69.95,2–10,2
27.95,69.95,1,1
27.15,69.85,1,1
25.95,69.65,1,1
-138.85,69.55,1,1
28.95,69.55,1,1
26.15,69.45,1,1
21.05,69.25,1,1
27.25,69.25,1,1
21.45,69.15,1,1
27.85,69.15,1,1
28.55,69.15,1,1
29.05,69.15,1,1
17.05,69.05,1,1
20.75,69.05,11–20,3
20.85,69.05,11–20,3
20.95,68.95,1,1
27.05,68.95,1,1
21.45,68.75,1,1
22.75,68.75,1,1
27.65,68.75,1,1
21.95,68.65,1,1
25.95,68.65,1,1
-142.45,68.45,1,1
22.15,68.45,1,1
22.25,68.45,1,1
22.45,68.45,2–10,2
23.55,68.45,1,1
24.35,68.45,1,1
24.75,68.45,2–10,2
27.35,68.45,2–10,2
28.35,68.45,1,1
28.45,68.45,1,1
18.75,68.35,1,1
19.05,68.35,1,1
22.95,68.35,1,1
27.45,68.35,1,1
23.95,68.25,1,1
23.25,68.15,1,1
23.35,68.15,2–10,2
24.05,68.15,1,1
24.15,68.15,1,1
27.25,68.15,1,1
27.35,68.15,2–10,2
15.55,68.05,2–10,2
15.95,68.05,1,1
20.65,68.05,11–20,3
23.25,68.05,1,1
23.35,68.05,1,1
23.45,68.05,1,1
23.55,68.05,1,1
23.75,68.05,1,1
24.15,68.05,>20,4
24.25,68.05,1,1
22.15,67.95,>20,4
23.75,67.95,2–10,2
24.15,67.95,1,1
158.05,67.95,2–10,2
18.95,67.85,1,1
19.05,67.85,1,1
21.35,67.85,1,1
23.25,67.85,2–10,2
23.35,67.85,1,1
24.05,67.85,1,1
24.85,67.85,1,1
26.25,67.85,1,1
26.75,67.85,2–10,2
27.35,67.85,1,1
29.25,67.85,1,1
20.25,67.75,1,1
20.85,67.75,2–10,2
20.95,67.75,1,1
23.25,67.75,1,1
26.95,67.75,1,1
29.65,67.75,1,1
20.85,67.65,1,1
23.55,67.65,1,1
23.85,67.65,1,1
24.05,67.65,1,1
24.95,67.65,2–10,2
33.75,67.65,1,1
-153.95,67.55,1,1
26.75,67.55,1,1
26.85,67.55,1,1
29.55,67.55,1,1
15.75,67.45,1,1
18.35,67.45,1,1
22.15,67.45,1,1
22.75,67.45,2–10,2
22.85,67.45,11–20,3
23.65,67.45,1,1
23.75,67.45,1,1
-150.75,67.35,1,1
23.85,67.35,1,1
14.35,67.25,1,1
14.45,67.25,2–10,2
14.55,67.25,2–10,2
17.95,67.25,1,1
21.15,67.25,1,1
23.25,67.25,1,1
20.75,67.15,1,1
24.95,67.15,1,1
26.25,67.15,1,1
26.85,67.15,1,1
26.95,67.15,2–10,2
29.15,67.15,1,1
18.15,67.05,1,1
20.35,67.05,1,1
23.15,67.05,1,1
23.45,67.05,2–10,2
26.85,67.05,1,1
27.25,67.05,1,1
15.45,66.95,1,1
18.65,66.95,>20,4
21.45,66.95,1,1
22.65,66.95,2–10,2
23.15,66.95,1,1
23.35,66.95,2–10,2
23.45,66.95,1,1
25.25,66.95,1,1
65.75,66.95,1,1
15.35,66.85,1,1
17.95,66.85,1,1
18.25,66.85,2–10,2
18.35,66.85,2–10,2
18.65,66.85,1,1
18.85,66.85,1,1
19.95,66.85,1,1
23.35,66.85,2–10,2
65.75,66.85,1,1
13.75,66.75,1,1
19.45,66.75,2–10,2
19.55,66.75,2–10,2
20.15,66.75,>20,4
20.55,66.75,1,1
21.85,66.75,11–20,3
21.95,66.75,1,1
22.05,66.75,1,1
25.75,66.75,2–10,2
28.85,66.75,1,1
-143.75,66.65,1,1
20.35,66.65,1,1
22.45,66.65,2–10,2
23.35,66.65,2–10,2
23.65,66.65,2–10,2
23.85,66.65,1,1
25.45,66.65,1,1
25.65,66.65,1,1
26.05,66.65,2–10,2
27.85,66.65,1,1
-139.25,66.55,1,1
20.15,66.55,2–10,2
20.25,66.55,2–10,2
20.35,66.55,2–10,2
20.45,66.55,1,1
20.55,66.55,1,1
20.65,66.55,11–20,3
21.25,66.55,1,1
22.65,66.55,1,1
22.75,66.55,1,1
23.35,66.55,2–10,2
23.45,66.55,2–10,2
25.65,66.55,11–20,3
25.75,66.55,>20,4
33.15,66.55,2–10,2
-22.95,66.45,1,1
-22.45,66.45,2–10,2
-22.35,66.45,1,1
14.05,66.45,1,1
14.45,66.45,1,1
14.55,66.45,1,1
20.45,66.45,1,1
20.55,66.45,>20,4
20.65,66.45,2–10,2
20.95,66.45,>20,4
22.55,66.45,2–10,2
23.55,66.45,1,1
25.05,66.45,1,1
25.15,66.45,1,1
25.65,66.45,>20,4
25.75,66.45,11–20,3
25.85,66.45,2–10,2
29.15,66.45,1,1
33.15,66.45,1,1
-152.05,66.35,1,1
-23.05,66.35,2–10,2
-22.85,66.35,2–10,2
14.05,66.35,2–10,2
19.95,66.35,1,1
20.55,66.35,2–10,2
20.65,66.35,2–10,2
20.75,66.35,1,1
21.05,66.35,1,1
21.55,66.35,1,1
21.65,66.35,2–10,2
22.35,66.35,1,1
22.85,66.35,1,1
24.35,66.35,1,1
25.15,66.35,1,1
26.65,66.35,1,1
26.75,66.35,11–20,3
28.65,66.35,1,1
29.15,66.35,1,1
29.35,66.35,2–10,2
29.45,66.35,1,1
29.55,66.35,11–20,3
-22.55,66.25,1,1
-22.45,66.25,2–10,2
-22.35,66.25,1,1
-22.25,66.25,1,1
20.65,66.25,1,1
21.45,66.25,11–20,3
21.55,66.25,2–10,2
21.65,66.25,11–20,3
21.75,66.25,1,1
22.55,66.25,1,1
22.85,66.25,1,1
22.95,66.25,1,1
23.45,66.25,2–10,2
25.05,66.25,1,1
25.15,66.25,2–10,2
25.35,66.25,1,1
29.15,66.25,1,1
29.35,66.25,2–10,2
29.45,66.25,1,1
29.55,66.25,2–10,2
29.65,66.25,1,1
12.55,66.15,1,1
17.45,66.15,1,1
18.75,66.15,11–20,3
19.95,66.15,1,1
20.05,66.15,1,1
20.85,66.15,>20,4
21.55,66.15,2–10,2
21.65,66.15,1,1
22.85,66.15,2–10,2
23.95,66.15,1,1
25.55,66.15,1,1
25.95,66.15,2–10,2
27.55,66.15,1,1
27.65,66.15,1,1
29.15,66.15,2–10,2
29.85,66.15,1,1
-16.55,66.05,11–20,3
-16.45,66.05,11–20,3
13.85,66.05,1,1
19.85,66.05,2–10,2
19.95,66.05,1,1
20.25,66.05,1,1
21.05,66.05,2–10,2
21.15,66.05,2–10,2
21.35,66.05,1,1
21.45,66.05,2–10,2
21.55,66.05,2–10,2
22.85,66.05,1,1
22.95,66.05,1,1
24.05,66.05,1,1
24.25,66.05,2–10,2
29.35,66.05,1,1
-18.55,65.95,11–20,3
-17.45,65.95,2–10,2
-17.05,65.95,2–10,2
-16.55,65.95,>20,4
-16.45,65.95,>20,4
16.25,65.95,1,1
19.95,65.95,1,1
21.15,65.95,11–20,3
21.45,65.95,11–20,3
21.55,65.95,>20,4
21.75,65.95,1,1
21.95,65.95,2–10,2
22.05,65.95,2–10,2
22.15,65.95,1,1
22.35,65.95,2–10,2
23.25,65.95,2–10,2
24.05,65.95,1,1
24.95,65.95,1,1
27.15,65.95,1,1
29.15,65.95,2–10,2
29.25,65.95,1,1
29.35,65.95,1,1
-17.45,65.85,1,1
-17.35,65.85,1,1
-17.25,65.85,11–20,3
-16.55,65.85,2–10,2
-16.45,65.85,>20,4
18.95,65.85,2–10,2
19.05,65.85,1,1
19.65,65.85,1,1
19.75,65.85,2–10,2
20.05,65.85,1,1
20.45,65.85,1,1
20.55,65.85,1,1
21.65,65.85,1,1
21.75,65.85,2–10,2
22.05,65.85,1,1
22.15,65.85,1,1
22.25,65.85,2–10,2
22.55,65.85,1,1
22.95,65.85,1,1
23.45,65.85,1,1
23.55,65.85,2–10,2
23.95,65.85,1,1
24.15,65.85,1,1
24.75,65.85,1,1
24.85,65.85,1,1
24.95,65.85,2–10,2
25.05,65.85,1,1
27.75,65.85,1,1
-18.15,65.75,>20,4
-17.45,65.75,>20,4
-17.35,65.75,2–10,2
-17.25,65.75,2–10,2
-16.35,65.75,2–10,2
18.75,65.75,2–10,2
19.15,65.75,1,1
19.35,65.75,2–10,2
20.25,65.75,1,1
21.55,65.75,1,1
21.85,65.75,1,1
21.95,65.75,1,1
22.05,65.75,1,1
22.25,65.75,1,1
23.05,65.75,1,1
29.55,65.75,1,1
-19.55,65.65,1,1
-18.35,65.65,1,1
-18.25,65.65,2–10,2
-18.15,65.65,>20,4
-17.55,65.65,11–20,3
-17.25,65.65,2–10,2
-17.15,65.65,2–10,2
-17.05,65.65,2–10,2
-16.95,65.65,>20,4
-16.85,65.65,11–20,3
-16.35,65.65,2–10,2
11.95,65.65,1,1
12.65,65.65,1,1
15.55,65.65,1,1
18.45,65.65,2–10,2
18.65,65.65,1,1
19.15,65.65,2–10,2
19.95,65.65,11–20,3
20.25,65.65,1,1
20.35,65.65,2–10,2
20.55,65.65,1,1
20.85,65.65,1,1
21.05,65.65,2–10,2
21.45,65.65,1,1
21.85,65.65,2–10,2
22.05,65.65,2–10,2
22.15,65.65,2–10,2
22.25,65.65,1,1
25.45,65.65,1,1
26.35,65.65,2–10,2
-18.65,65.55,1,1
-18.55,65.55,2–10,2
-18.35,65.55,2–10,2
-18.25,65.55,11–20,3
-17.35,65.55,11–20,3
-17.25,65.55,11–20,3
-17.15,65.55,1,1
-17.05,65.55,11–20,3
-16.95,65.55,2–10,2
-16.85,65.55,2–10,2
-14.05,65.55,2–10,2
17.25,65.55,2–10,2
17.75,65.55,1,1
18.95,65.55,11–20,3
19.15,65.55,1,1
19.95,65.55,1,1
20.05,65.55,1,1
20.85,65.55,1,1
21.25,65.55,2–10,2
21.45,65.55,2–10,2
21.55,65.55,2–10,2
21.65,65.55,1,1
21.95,65.55,2–10,2
22.05,65.55,1,1
22.15,65.55,1,1
22.25,65.55,11–20,3
22.35,65.55,>20,4
27.65,65.55,1,1
29.35,65.55,1,1
-17.25,65.45,1,1
-17.15,65.45,1,1
-17.05,65.45,1,1
-16.95,65.45,2–10,2
-16.85,65.45,1,1
-16.15,65.45,1,1
12.55,65.45,2–10,2
16.85,65.45,1,1
17.15,65.45,2–10,2
19.35,65.45,1,1
19.55,65.45,2–10,2
20.85,65.45,2–10,2
21.15,65.45,1,1
26.05,65.45,1,1
29.35,65.45,1,1
29.55,65.45,1,1
-17.25,65.35,1,1
-17.15,65.35,1,1
-16.95,65.35,1,1
-16.35,65.35,2–10,2
-16.25,65.35,1,1
-16.15,65.35,1,1
-16.05,65.35,1,1
13.35,65.35,1,1
18.95,65.35,1,1
21.45,65.35,1,1
26.65,65.35,1,1
26.95,65.35,1,1
-17.05,65.25,1,1
-16.95,65.25,1,1
-16.75,65.25,2–10,2
-16.15,65.25,2–10,2
13.35,65.25,1,1
15.45,65.25,1,1
15.65,65.25,1,1
17.95,65.25,1,1
18.45,65.25,1,1
19.05,65.25,1,1
19.25,65.25,1,1
19.35,65.25,2–10,2
20.25,65.25,2–10,2
20.35,65.25,2–10,2
20.55,65.25,1,1
25.35,65.25,2–10,2
25.45,65.25,1,1
26.55,65.25,1,1
27.85,65.25,1,1
28.45,65.25,1,1
-17.35,65.15,2–10,2
-17.25,65.15,1,1
-16.75,65.15,1,1
-16.35,65.15,1,1
-16.25,65.15,11–20,3
-13.55,65.15,2–10,2
17.95,65.15,1,1
18.05,65.15,1,1
19.45,65.15,1,1
19.65,65.15,2–10,2
20.55,65.15,1,1
21.35,65.15,2–10,2
25.25,65.15,2–10,2
25.65,65.15,1,1
25.75,65.15,1,1
25.85,65.15,1,1
29.15,65.15,1,1
29.25,65.15,2–10,2
-138.25,65.05,1,1
-19.45,65.05,2–10,2
-13.95,65.05,1,1
-13.85,65.05,2–10,2
-13.65,65.05,1,1
16.95,65.05,1,1
17.45,65.05,1,1
18.15,65.05,1,1
19.75,65.05,1,1
21.45,65.05,2–10,2
24.55,65.05,1,1
24.65,65.05,1,1
24.75,65.05,2–10,2
24.85,65.05,1,1
25.45,65.05,>20,4
25.65,65.05,11–20,3
25.75,65.05,>20,4
25.85,65.05,1,1
25.95,65.05,1,1
29.45,65.05,1,1
29.85,65.05,1,1
-146.55,64.95,1,1
-138.25,64.95,1,1
-15.75,64.95,2–10,2
-15.65,64.95,1,1
-13.65,64.95,1,1
18.65,64.95,1,1
19.75,64.95,2–10,2
24.75,64.95,2–10,2
25.25,64.95,1,1
25.35,64.95,1,1
25.45,64.95,>20,4
25.65,64.95,2–10,2
25.75,64.95,1,1
26.05,64.95,1,1
26.95,64.95,1,1
29.25,64.95,1,1
36.45,64.95,1,1
-147.75,64.85,>20,4
-147.65,64.85,2–10,2
-146.75,64.85,1,1
-23.95,64.85,1,1
-23.85,64.85,1,1
-23.45,64.85,2–10,2
-19.55,64.85,1,1
-17.65,64.85,1,1
12.35,64.85,1,1
17.45,64.85,2–10,2
17.75,64.85,1,1
17.85,64.85,2–10,2
18.05,64.85,1,1
18.75,64.85,>20,4
18.85,64.85,2–10,2
19.65,64.85,1,1
25.35,64.85,11–20,3
26.05,64.85,1,1
27.65,64.85,1,1
28.85,64.85,1,1
29.65,64.85,1,1
-23.75,64.75,1,1
-22.25,64.75,2–10,2
-14.45,64.75,1,1
13.95,64.75,1,1
18.25,64.75,1,1
18.35,64.75,1,1
18.45,64.75,1,1
18.55,64.75,11–20,3
18.65,64.75,2–10,2
18.75,64.75,2–10,2
18.85,64.75,11–20,3
18.95,64.75,1,1
19.15,64.75,1,1
19.25,64.75,2–10,2
19.35,64.75,2–10,2
19.55,64.75,2–10,2
20.35,64.75,1,1
21.05,64.75,1,1
21.15,64.75,1,1
25.05,64.75,1,1
25.25,64.75,1,1
26.05,64.75,2–10,2
26.55,64.75,2–10,2
26.65,64.75,1,1
29.05,64.75,1,1
30.05,64.75,1,1
-138.35,64.65,1,1
-21.85,64.65,2–10,2
-15.15,64.65,1,1
-14.55,64.65,1,1
11.45,64.65,1,1
11.65,64.65,1,1
17.45,64.65,1,1
19.05,64.65,2–10,2
19.15,64.65,2–10,2
19.25,64.65,>20,4
19.35,64.65,2–10,2
19.65,64.65,2–10,2
19.75,64.65,2–10,2
20.05,64.65,2–10,2
20.75,64.65,1,1
21.15,64.65,2–10,2
27.95,64.65,1,1
28.05,64.65,2–10,2
28.55,64.65,1,1
39.85,64.65,2–10,2
-21.95,64.55,1,1
-18.75,64.55,1,1
-18.65,64.55,1,1
-15.15,64.55,1,1
11.45,64.55,1,1
11.85,64.55,1,1
18.65,64.55,2–10,2
19.05,64.55,2–10,2
19.25,64.55,>20,4
19.35,64.55,2–10,2
19.45,64.55,>20,4
19.55,64.55,1,1
19.65,64.55,2–10,2
19.75,64.55,1,1
20.05,64.55,1,1
20.35,64.55,2–10,2
21.45,64.55,1,1
24.85,64.55,2–10,2
26.45,64.55,1,1
27.15,64.55,1,1
28.15,64.55,1,1
29.95,64.55,1,1
-138.35,64.45,1,1
-21.35,64.45,1,1
-14.95,64.45,2–10,2
10.95,64.45,1,1
12.05,64.45,1,1
12.35,64.45,1,1
18.75,64.45,1,1
18.85,64.45,1,1
18.95,64.45,11–20,3
19.05,64.45,>20,4
19.15,64.45,>20,4
19.25,64.45,2–10,2
19.45,64.45,>20,4
19.55,64.45,1,1
20.65,64.45,1,1
21.25,64.45,2–10,2
24.15,64.45,2–10,2
24.75,64.45,1,1
24.85,64.45,1,1
27.05,64.45,1,1
27.15,64.45,1,1
27.25,64.45,1,1
27.55,64.45,2–10,2
27.65,64.45,2–10,2
27.75,64.45,1,1
27.85,64.45,1,1
27.95,64.45,1,1
30.05,64.45,1,1
42.95,64.45,1,1
-20.35,64.35,2–10,2
14.75,64.35,1,1
15.25,64.35,2–10,2
16.65,64.35,1,1
17.15,64.35,1,1
18.65,64.35,>20,4
18.75,64.35,1,1
18.95,64.35,1,1
19.05,64.35,1,1
19.45,64.35,>20,4
19.55,64.35,2–10,2
20.05,64.35,>20,4
20.35,64.35,1,1
20.45,64.35,1,1
20.75,64.35,2–10,2
21.35,64.35,1,1
24.85,64.35,1,1
25.05,64.35,1,1
26.05,64.35,1,1
27.05,64.35,1,1
30.05,64.35,1,1
-21.15,64.25,2–10,2
-15.65,64.25,1,1
-15.55,64.25,1,1
12.35,64.25,2–10,2
12.55,64.25,1,1
14.95,64.25,1,1
15.15,64.25,1,1
15.55,64.25,1,1
15.65,64.25,1,1
17.05,64.25,>20,4
17.95,64.25,>20,4
18.65,64.25,1,1
18.95,64.25,1,1
19.25,64.25,>20,4
19.45,64.25,2–10,2
19.55,64.25,2–10,2
19.65,64.25,1,1
19.75,64.25,11–20,3
19.85,64.25,1,1
19.95,64.25,1,1
20.05,64.25,11–20,3
20.15,64.25,11–20,3
20.25,64.25,11–20,3
20.35,64.25,11–20,3
20.55,64.25,2–10,2
23.75,64.25,1,1
23.85,64.25,1,1
23.95,64.25,1,1
24.45,64.25,11–20,3
24.85,64.25,1,1
27.65,64.25,1,1
27.75,64.25,11–20,3
27.85,64.25,1,1
28.95,64.25,2–10,2
29.35,64.25,2–10,2
29.55,64.25,1,1
29.65,64.25,1,1
-20.45,64.15,1,1
-19.65,64.15,1,1
-16.05,64.15,1,1
11.05,64.15,1,1
15.75,64.15,2–10,2
16.15,64.15,1,1
17.65,64.15,1,1
17.75,64.15,1,1
17.85,64.15,1,1
18.25,64.15,>20,4
19.25,64.15,1,1
19.55,64.15,2–10,2
19.65,64.15,2–10,2
19.75,64.15,1,1
19.85,64.15,1,1
19.95,64.15,1,1
20.05,64.15,2–10,2
20.15,64.15,1,1
20.45,64.15,1,1
20.55,64.15,11–20,3
23.65,64.15,1,1
23.85,64.15,1,1
24.25,64.15,2–10,2
26.05,64.15,1,1
26.75,64.15,1,1
28.05,64.15,2–10,2
28.25,64.15,2–10,2
29.55,64.15,2–10,2
30.35,64.15,1,1
30.45,64.15,1,1
-21.95,64.05,2–10,2
-21.85,64.05,>20,4
-21.75,64.05,>20,4
-21.65,64.05,1,1
-20.15,64.05,1,1
-17.45,64.05,1,1
-17.05,64.05,1,1
-16.95,64.05,2–10,2
10.45,64.05,1,1
11.65,64.05,1,1
15.55,64.05,1,1
15.85,64.05,1,1
16.95,64.05,>20,4
17.85,64.05,1,1
17.95,64.05,2–10,2
18.45,64.05,2–10,2
18.65,64.05,2–10,2
19.05,64.05,2–10,2
19.25,64.05,2–10,2
20.05,64.05,1,1
20.45,64.05,2–10,2
20.55,64.05,11–20,3
20.65,64.05,>20,4
23.45,64.05,11–20,3
23.65,64.05,2–10,2
23.75,64.05,1,1
25.25,64.05,1,1
26.95,64.05,1,1
27.05,64.05,1,1
29.35,64.05,1,1
-22.15,63.95,2–10,2
-22.05,63.95,2–10,2
-19.05,63.95,2–10,2
-16.85,63.95,2–10,2
-16.45,63.95,1,1
12.15,63.95,1,1
15.35,63.95,1,1
15.45,63.95,1,1
17.05,63.95,2–10,2
17.85,63.95,1,1
17.95,63.95,>20,4
18.05,63.95,>20,4
18.55,63.95,11–20,3
18.75,63.95,2–10,2
18.85,63.95,2–10,2
18.95,63.95,1,1
19.05,63.95,1,1
19.15,63.95,2–10,2
19.25,63.95,1,1
19.45,63.95,>20,4
19.55,63.95,2–10,2
19.65,63.95,2–10,2
19.75,63.95,11–20,3
19.85,63.95,1,1
19.95,63.95,1,1
20.15,63.95,2–10,2
20.65,63.95,1,1
23.45,63.95,1,1
25.65,63.95,1,1
26.05,63.95,1,1
26.75,63.95,1,1
30.25,63.95,1,1
30.35,63.95,2–10,2
-142.25,63.85,1,1
-22.15,63.85,2–10,2
-22.05,63.85,2–10,2
-21.85,63.85,2–10,2
-21.75,63.85,2–10,2
-16.65,63.85,2–10,2
9.95000000000002,63.85,1,1
10.75,63.85,1,1
18.05,63.85,>20,4
18.15,63.85,>20,4
18.25,63.85,>20,4
18.35,63.85,>20,4
18.65,63.85,1,1
18.85,63.85,2–10,2
19.05,63.85,1,1
19.25,63.85,2–10,2
19.35,63.85,1,1
19.55,63.85,1,1
19.75,63.85,1,1
19.95,63.85,1,1
20.05,63.85,2–10,2
20.15,63.85,>20,4
20.25,63.85,>20,4
20.55,63.85,2–10,2
23.15,63.85,11–20,3
23.95,63.85,1,1
25.75,63.85,1,1
28.15,63.85,1,1
29.25,63.85,1,1
-149.25,63.75,1,1
-148.95,63.75,2–10,2
-148.85,63.75,1,1
9.95000000000002,63.75,1,1
12.45,63.75,1,1
13.75,63.75,1,1
14.85,63.75,1,1
18.35,63.75,>20,4
18.75,63.75,>20,4
19.15,63.75,1,1
19.35,63.75,1,1
19.55,63.75,1,1
19.65,63.75,2–10,2
19.75,63.75,11–20,3
19.85,63.75,2–10,2
20.05,63.75,2–10,2
20.25,63.75,11–20,3
20.35,63.75,>20,4
20.45,63.75,>20,4
20.55,63.75,2–10,2
22.65,63.75,1,1
25.05,63.75,1,1
26.05,63.75,1,1
27.35,63.75,1,1
29.85,63.75,1,1
-149.55,63.65,1,1
-135.85,63.65,1,1
9.65000000000001,63.65,1,1
11.55,63.65,1,1
11.75,63.65,1,1
15.25,63.65,1,1
17.05,63.65,2–10,2
18.35,63.65,>20,4
18.45,63.65,>20,4
19.25,63.65,2–10,2
19.35,63.65,2–10,2
19.45,63.65,1,1
19.55,63.65,>20,4
19.65,63.65,1,1
20.25,63.65,2–10,2
20.35,63.65,2–10,2
22.55,63.65,1,1
22.75,63.65,2–10,2
24.65,63.65,1,1
25.25,63.65,2–10,2
25.85,63.65,1,1
26.05,63.65,1,1
27.85,63.65,1,1
28.35,63.65,2–10,2
29.95,63.65,1,1
-150.95,63.55,2–10,2
-145.85,63.55,1,1
-19.55,63.55,2–10,2
-19.45,63.55,2–10,2
-18.45,63.55,1,1
11.25,63.55,1,1
11.55,63.55,1,1
16.35,63.55,1,1
19.35,63.55,11–20,3
19.45,63.55,1,1
19.55,63.55,1,1
19.65,63.55,>20,4
19.75,63.55,1,1
23.85,63.55,1,1
24.05,63.55,1,1
24.25,63.55,2–10,2
24.65,63.55,1,1
25.05,63.55,1,1
25.85,63.55,1,1
27.05,63.55,1,1
27.15,63.55,1,1
28.55,63.55,1,1
29.05,63.55,1,1
29.15,63.55,11–20,3
29.25,63.55,1,1
29.75,63.55,2–10,2
-150.85,63.45,1,1
-150.35,63.45,1,1
-136.55,63.45,1,1
8.95000000000002,63.45,1,1
13.95,63.45,1,1
15.15,63.45,1,1
16.85,63.45,2–10,2
16.95,63.45,11–20,3
17.05,63.45,>20,4
17.15,63.45,>20,4
17.95,63.45,1,1
18.25,63.45,1,1
18.35,63.45,1,1
25.45,63.45,1,1
25.55,63.45,1,1
27.55,63.45,1,1
28.45,63.45,1,1
29.05,63.45,1,1
30.35,63.45,1,1
30.45,63.45,1,1
40.35,63.45,1,1
-151.15,63.35,1,1
-136.65,63.35,2–10,2
9.85000000000002,63.35,1,1
10.25,63.35,2–10,2
10.45,63.35,2–10,2
13.45,63.35,1,1
14.05,63.35,1,1
14.25,63.35,1,1
15.75,63.35,1,1
17.15,63.35,1,1
18.45,63.35,1,1
18.55,63.35,1,1
18.85,63.35,1,1
21.25,63.35,1,1
21.35,63.35,1,1
23.55,63.35,11–20,3
23.95,63.35,1,1
24.55,63.35,1,1
24.65,63.35,1,1
27.85,63.35,2–10,2
29.15,63.35,2–10,2
29.95,63.35,2–10,2
8.35000000000002,63.25,1,1
9.65000000000001,63.25,1,1
10.25,63.25,1,1
10.55,63.25,1,1
10.75,63.25,1,1
12.35,63.25,1,1
12.45,63.25,1,1
14.75,63.25,2–10,2
15.05,63.25,2–10,2
15.75,63.25,2–10,2
17.05,63.25,1,1
17.15,63.25,1,1
18.55,63.25,2–10,2
18.65,63.25,1,1
18.75,63.25,2–10,2
18.85,63.25,1,1
21.15,63.25,1,1
24.25,63.25,1,1
24.75,63.25,1,1
24.85,63.25,1,1
25.35,63.25,1,1
25.75,63.25,1,1
26.75,63.25,1,1
27.05,63.25,1,1
28.05,63.25,2–10,2
28.95,63.25,1,1
29.25,63.25,1,1
30.85,63.25,1,1
-151.15,63.15,1,1
9.95000000000002,63.15,1,1
12.95,63.15,1,1
13.75,63.15,1,1
14.55,63.15,2–10,2
14.75,63.15,1,1
15.65,63.15,2–10,2
16.25,63.15,2–10,2
16.45,63.15,1,1
17.05,63.15,1,1
17.25,63.15,1,1
17.55,63.15,1,1
18.45,63.15,11–20,3
18.55,63.15,2–10,2
21.15,63.15,1,1
21.55,63.15,2–10,2
23.35,63.15,1,1
24.35,63.15,1,1
25.65,63.15,1,1
26.15,63.15,1,1
27.35,63.15,2–10,2
27.65,63.15,1,1
28.95,63.15,1,1
29.35,63.15,1,1
29.75,63.15,1,1
29.85,63.15,>20,4
30.65,63.15,1,1
7.45000000000002,63.05,1,1
8.05000000000001,63.05,1,1
8.65000000000001,63.05,1,1
8.95000000000002,63.05,1,1
10.25,63.05,1,1
12.85,63.05,1,1
13.75,63.05,1,1
15.05,63.05,1,1
15.15,63.05,1,1
16.55,63.05,1,1
16.65,63.05,1,1
18.35,63.05,1,1
18.45,63.05,11–20,3
18.55,63.05,2–10,2
18.65,63.05,1,1
23.45,63.05,1,1
24.05,63.05,11–20,3
27.65,63.05,>20,4
28.05,63.05,11–20,3
28.45,63.05,1,1
29.75,63.05,1,1
29.85,63.05,2–10,2
30.65,63.05,11–20,3
-141.65,62.95,1,1
7.05000000000001,62.95,1,1
7.45000000000002,62.95,11–20,3
9.55000000000001,62.95,1,1
10.85,62.95,2–10,2
15.15,62.95,2–10,2
16.05,62.95,1,1
16.25,62.95,1,1
16.35,62.95,2–10,2
16.55,62.95,1,1
16.65,62.95,2–10,2
17.15,62.95,11–20,3
17.25,62.95,2–10,2
17.45,62.95,1,1
17.55,62.95,1,1
17.65,62.95,11–20,3
17.75,62.95,11–20,3
18.25,62.95,2–10,2
18.35,62.95,2–10,2
18.45,62.95,1,1
18.55,62.95,2–10,2
21.15,62.95,2–10,2
21.75,62.95,1,1
25.45,62.95,1,1
27.25,62.95,1,1
27.65,62.95,>20,4
27.95,62.95,1,1
28.05,62.95,11–20,3
28.65,62.95,1,1
29.65,62.95,2–10,2
29.75,62.95,2–10,2
30.15,62.95,1,1
30.45,62.95,11–20,3
30.95,62.95,1,1
31.25,62.95,1,1
31.35,62.95,>20,4
31.55,62.95,1,1
-149.75,62.85,1,1
7.25,62.85,2–10,2
9.55000000000001,62.85,1,1
9.65000000000001,62.85,1,1
12.75,62.85,1,1
14.75,62.85,1,1
15.95,62.85,1,1
16.25,62.85,2–10,2
17.55,62.85,1,1
17.75,62.85,1,1
18.25,62.85,1,1
18.35,62.85,1,1
22.05,62.85,11–20,3
22.55,62.85,2–10,2
23.15,62.85,1,1
25.15,62.85,1,1
25.45,62.85,2–10,2
25.65,62.85,1,1
26.35,62.85,1,1
27.55,62.85,11–20,3
27.65,62.85,>20,4
27.75,62.85,2–10,2
27.85,62.85,2–10,2
28.05,62.85,1,1
29.75,62.85,1,1
29.95,62.85,11–20,3
30.05,62.85,2–10,2
30.15,62.85,1,1
30.45,62.85,>20,4
31.45,62.85,2–10,2
31.55,62.85,1,1
-150.15,62.75,1,1
-150.05,62.75,1,1
-149.95,62.75,1,1
-128.15,62.75,1,1
7.65000000000001,62.75,1,1
8.05000000000001,62.75,1,1
8.55000000000001,62.75,1,1
8.85000000000002,62.75,1,1
9.35000000000002,62.75,1,1
9.55000000000001,62.75,1,1
14.65,62.75,1,1
15.35,62.75,1,1
15.65,62.75,1,1
16.05,62.75,1,1
16.15,62.75,1,1
16.35,62.75,1,1
16.65,62.75,2–10,2
16.75,62.75,1,1
17.45,62.75,2–10,2
18.05,62.75,>20,4
18.25,62.75,2–10,2
21.95,62.75,11–20,3
22.05,62.75,2–10,2
22.15,62.75,1,1
22.25,62.75,1,1
22.75,62.75,2–10,2
